tp_pct,sl_pct,hold_days,sample_count,avg_ret_pct,median_ret_pct,win_rate_pct,tp_rate_pct,sl_rate_pct,hold_to_close_pct,avg_win_pct,avg_loss_pct,profit_factor
10,2,8,79,1.346,-0.578,45.57,12.66,40.51,46.84,4.967,1.685,2.947
8,2,8,79,1.255,-0.578,45.57,18.99,40.51,40.51,4.768,1.685,2.829
7,2,8,79,1.229,-0.578,45.57,24.05,40.51,35.44,4.71,1.685,2.794
9,2,8,79,1.219,-0.578,45.57,12.66,40.51,46.84,4.689,1.685,2.782
6,2,8,79,1.196,-0.578,45.57,30.38,40.51,29.11,4.638,1.685,2.752
10,2,5,79,1.161,0.671,56.96,6.33,34.18,59.49,3.391,1.791,1.893
10,3,8,79,1.134,-0.107,49.37,12.66,34.18,53.16,4.641,2.286,2.03
10,2,4,79,1.127,1.027,56.96,5.06,32.91,62.03,3.229,1.656,1.95
9,2,5,79,1.098,0.671,56.96,6.33,34.18,59.49,3.28,1.791,1.831
10,3,4,79,1.094,1.235,62.03,5.06,25.32,69.62,3.105,2.192,1.416
9,2,4,79,1.083,1.027,56.96,6.33,32.91,60.76,3.153,1.656,1.904
10,3,5,79,1.082,1.006,62.03,6.33,26.58,67.09,3.211,2.395,1.341
10,2,6,79,1.077,0.476,51.9,6.33,37.97,55.7,3.678,1.775,2.071
8,2,5,79,1.058,0.671,56.96,8.86,34.18,56.96,3.211,1.791,1.793
5,2,8,79,1.055,-0.4,46.84,35.44,39.24,25.32,4.157,1.678,2.477
9,3,4,79,1.05,1.235,62.03,6.33,25.32,68.35,3.036,2.192,1.385
8,2,4,79,1.048,1.027,56.96,7.59,32.91,59.49,3.091,1.656,1.867
8,2,6,79,1.047,0.476,51.9,12.66,37.97,49.37,3.619,1.775,2.038
8,3,8,79,1.043,-0.107,49.37,18.99,34.18,46.84,4.457,2.286,1.95
10,2,7,79,1.025,0.149,50.63,10.13,39.24,50.63,3.719,1.785,2.084
6,2,4,79,1.022,1.027,56.96,12.66,32.91,54.43,3.044,1.656,1.839
9,2,6,79,1.021,0.476,51.9,7.59,37.97,54.43,3.569,1.775,2.01
9,3,5,79,1.019,1.006,62.03,6.33,26.58,67.09,3.109,2.395,1.298
