代码,大跌日,触发日,大跌日收盘,触发日收盘,跌幅%,获利比例%,成本偏离%,缩量比,5日内最大收益%,5日后收益%,10日内最大收益%
301489,2026-01-08,2026-01-09,182.64,179.61,-7.05,6.83,-8.32,0.57,1.05,-0.26,1.05
603601,2026-01-14,2026-01-15,11.86,10.67,-10.02,3.66,-9.67,0.35,-0.84,-4.87,15.75
603122,2026-01-14,2026-01-15,20.5,18.45,-10.01,0.05,-9.41,0.57,2.82,-1.84,3.79
002413,2026-01-14,2026-01-15,16.31,14.68,-9.99,6.82,-7.22,0.32,-2.38,-3.13,5.52
603278,2026-01-14,2026-01-15,14.36,12.92,-9.97,4.98,-12.97,0.65,1.86,-0.31,4.49
000592,2026-01-15,2026-01-16,13.93,12.54,-10.01,3.18,-8.17,0.4,-5.1,-14.04,-5.1
002639,2026-01-16,2026-01-19,21.81,22.03,-9.99,3.99,-12.62,0.7,10.21,-0.09,10.21
000592,2026-01-16,2026-01-19,12.54,11.29,-9.98,0.27,-17.34,0.23,5.4,-13.99,5.4
301408,2026-01-16,2026-01-19,21.53,21.78,-9.58,5.24,-12.48,0.66,18.37,15.15,18.37
002792,2026-01-16,2026-01-19,51.71,51.27,-8.75,9.59,-14.64,0.63,11.86,7.76,11.86
002759,2026-01-16,2026-01-19,41.34,41.87,-8.44,1.31,-8.44,0.61,5.68,4.59,5.68
000546,2026-01-16,2026-01-19,6.12,6.33,-8.38,1.65,-10.53,0.64,11.37,7.27,11.37
603601,2026-01-16,2026-01-19,9.91,9.93,-7.12,4.86,-20.85,0.57,10.78,1.31,24.37
300499,2026-01-20,2026-01-21,29.55,30.69,-10.26,4.02,-7.34,0.58,1.82,-2.8,1.82
301136,2026-01-20,2026-01-21,17.97,17.68,-9.97,0.88,-14.14,0.59,9.84,-0.11,9.84
002446,2026-01-20,2026-01-21,10.82,11.13,-8.92,7.66,-11.89,0.61,14.11,10.51,14.11
300337,2026-01-20,2026-01-21,15.52,15.18,-8.92,8.88,-9.13,0.68,20.55,4.22,20.55
688523,2026-01-20,2026-01-21,60.3,59.35,-8.87,6.23,-9.5,0.63,25.53,5.44,25.53
002565,2026-01-20,2026-01-21,14.48,14.14,-8.7,0.51,-20.87,0.57,27.23,26.03,31.68
300997,2026-01-21,2026-01-22,23.9,24.24,-11.25,9.31,-14.8,0.47,10.93,5.73,13.45
603466,2026-01-21,2026-01-22,9.29,9.55,-9.81,8.89,-7.93,0.61,2.72,-2.2,2.72
301079,2026-01-26,2026-01-27,42.92,43.8,-14.25,1.1,-9.95,0.55,1.46,0.37,3.26
300123,2026-01-26,2026-01-27,7.36,7.31,-13.41,1.22,-11.96,0.51,1.78,-3.42,1.78
300421,2026-01-26,2026-01-27,30.2,30.32,-13.27,1.31,-11.77,0.44,-0.46,-5.08,-0.46
301306,2026-01-26,2026-01-27,111.63,112.21,-12.96,1.08,-10.11,0.64,1.24,-3.04,7.72
301517,2026-01-26,2026-01-27,70.5,70.72,-12.23,5.75,-8.52,0.54,0.54,-4.02,0.54
300885,2026-01-26,2026-01-27,27.09,27.22,-11.93,4.02,-10.54,0.67,1.62,-0.44,2.46
300762,2026-01-26,2026-01-27,43.72,43.36,-10.92,8.81,-8.02,0.59,2.63,-2.26,2.63
600151,2026-01-26,2026-01-27,15.41,15.24,-9.99,0.42,-8.65,0.58,3.35,3.35,9.38
603696,2026-01-26,2026-01-27,19.75,19.54,-9.98,0.82,-11.83,0.63,0.36,-0.72,12.59
300947,2026-01-26,2026-01-27,19.31,19.02,-9.85,7.71,-7.87,0.48,7.78,4.0,12.3
300887,2026-01-26,2026-01-27,11.98,12.28,-9.72,5.11,-9.45,0.68,-0.33,-4.32,-0.33
688539,2026-01-26,2026-01-27,45.32,45.32,-9.16,9.93,-7.32,0.54,10.06,6.82,10.06
000901,2026-01-26,2026-01-27,25.26,25.79,-9.1,4.13,-8.97,0.56,16.63,15.78,16.63
300622,2026-01-26,2026-01-27,31.41,30.9,-8.9,4.65,-8.1,0.46,1.75,-2.49,2.27
002151,2026-01-26,2026-01-27,45.32,45.65,-8.79,2.67,-7.07,0.54,0.44,-1.97,0.44
600855,2026-01-26,2026-01-27,20.15,20.54,-8.33,7.73,-9.19,0.62,0.54,-1.22,0.93
300946,2026-01-26,2026-01-27,51.1,51.13,-8.23,8.42,-8.29,0.52,0.66,-5.14,0.66
002927,2026-01-26,2026-01-27,19.51,19.35,-7.05,7.13,-7.8,0.58,2.17,1.03,4.24
002300,2026-01-27,2026-01-28,8.7,8.51,-7.74,0.93,-10.68,0.56,12.34,12.34,13.51
300200,2026-01-28,2026-01-29,12.3,12.06,-14.52,3.5,-16.1,0.54,1.16,-1.99,1.74
688759,2026-01-28,2026-01-29,46.26,43.28,-13.61,9.46,-8.65,0.58,4.85,3.51,6.75
001400,2026-01-28,2026-01-29,100.73,95.5,-8.26,2.4,-9.35,0.69,27.34,10.81,27.75
002560,2026-01-29,2026-01-30,9.66,9.75,-8.78,2.53,-10.47,0.55,12.21,5.64,12.21
301603,2026-01-29,2026-01-30,70.98,70.7,-7.94,5.78,-8.19,0.45,0.71,-4.17,0.71
603023,2026-01-29,2026-01-30,5.24,5.26,-7.91,4.5,-9.34,0.6,3.42,-1.14,3.42
688590,2026-01-30,2026-02-02,18.95,18.21,-10.82,8.9,-12.83,0.47,1.98,-3.24,1.98
603257,2026-01-30,2026-02-02,59.01,56.6,-9.42,5.42,-8.86,0.6,3.02,1.93,7.53
300545,2026-01-30,2026-02-02,30.59,29.53,-9.36,5.0,-9.39,0.52,10.57,8.5,19.2
300475,2026-02-02,2026-02-03,147.73,153.53,-12.36,7.28,-10.67,0.64,-2.0,-10.58,-2.0
688716,2026-02-02,2026-02-03,38.31,39.6,-8.13,6.03,-10.24,0.58,0.15,-1.34,3.81
301026,2026-02-02,2026-02-03,31.15,32.22,-7.43,6.09,-8.11,0.7,2.39,-3.69,10.12
920670,2026-02-02,2026-02-03,17.53,17.92,-7.25,5.94,-9.83,0.53,15.79,9.1,15.79
300261,2026-02-02,2026-02-03,6.85,6.92,-7.18,9.27,-7.06,0.43,11.27,5.2,12.14
301665,2026-02-02,2026-02-03,28.47,29.38,-7.08,4.26,-7.98,0.57,2.18,0.51,14.57
688591,2026-02-02,2026-02-03,43.93,44.38,-7.05,8.06,-7.61,0.55,-0.88,-3.54,2.41
301396,2026-02-04,2026-02-05,89.38,87.38,-14.07,7.58,-11.42,0.5,25.13,18.56,25.13
301428,2026-02-04,2026-02-05,38.67,37.85,-10.44,5.88,-9.05,0.47,5.94,-1.59,5.94
301005,2026-02-04,2026-02-05,169.97,166.29,-8.71,6.84,-10.31,0.54,6.21,-3.42,10.65
300780,2026-02-04,2026-02-05,27.38,26.5,-7.9,6.1,-7.56,0.66,2.15,-9.43,2.15
301556,2026-02-05,2026-02-06,105.87,105.76,-9.71,1.0,-10.81,0.53,2.12,-2.06,2.12
000880,2026-02-05,2026-02-06,32.49,32.0,-9.14,6.21,-7.73,0.65,18.12,11.47,18.28
